timestamp_of_entry,timestamp_of_exit,entry_price,target_price,stop_price,type_of_exit,pnl
2019-04-02 13:54:00,2019-04-02 14:07:00,428200.0,428500.0,427900.0,Win,4000.0
2019-04-02 13:57:00,2019-04-02 14:07:00,428200.0,428500.0,427900.0,Win,4000.0
2019-04-02 13:59:00,2019-04-02 14:07:00,428200.0,428500.0,427900.0,Win,4000.0
2019-04-02 15:14:00,2019-04-02 15:17:00,429800.0,430100.0,429500.0,Win,4000.0
2019-04-02 16:10:00,2019-04-02 16:16:00,430500.0,430800.0,430200.0,Loss,-3000.0
2019-04-02 16:11:00,2019-04-02 16:24:00,430400.0,430700.0,430100.0,Loss,-3000.0
2019-04-02 18:48:00,2019-04-02 18:54:00,427600.0,427900.0,427300.0,Win,4000.0
2019-04-02 18:51:00,2019-04-02 18:54:00,427700.0,428000.0,427400.0,Win,3000.0
2019-04-02 18:52:00,2019-04-02 18:54:00,427700.0,428000.0,427400.0,Win,3000.0
2019-04-02 19:02:00,2019-04-02 19:04:00,427900.0,428200.0,427600.0,Loss,-3000.0
2019-04-02 19:03:00,2019-04-02 19:06:00,427700.0,428000.0,427400.0,Win,3000.0
2019-04-02 21:50:00,2019-04-02 21:52:00,431200.0,431500.0,430900.0,Loss,-3000.0
2019-04-02 22:37:00,2019-04-02 22:40:00,431300.0,431600.0,431000.0,Win,3000.0
2019-04-02 23:00:00,2019-04-02 23:05:00,431500.0,431800.0,431200.0,Win,3000.0
2019-04-02 09:35:00,2019-04-02 09:49:00,429700.0,429400.0,430000.0,Win,3000.0
2019-04-02 09:41:00,2019-04-02 10:03:00,429600.0,429300.0,429900.0,Win,3000.0
2019-04-02 09:42:00,2019-04-02 10:03:00,429600.0,429300.0,429900.0,Win,3000.0
2019-04-02 09:43:00,2019-04-02 09:49:00,429700.0,429400.0,430000.0,Win,3000.0
2019-04-02 09:44:00,2019-04-02 09:49:00,429700.0,429400.0,430000.0,Win,3000.0
2019-04-02 10:48:00,2019-04-02 11:36:00,429000.0,428700.0,429300.0,Win,3000.0
2019-04-02 10:50:00,2019-04-02 11:36:00,429000.0,428700.0,429300.0,Win,3000.0
2019-04-02 12:33:00,2019-04-02 12:41:00,428400.0,428100.0,428700.0,Win,3000.0
2019-04-02 13:19:00,2019-04-02 13:32:00,428300.0,428000.0,428600.0,Win,3000.0
2019-04-02 13:20:00,2019-04-02 13:32:00,428300.0,428000.0,428600.0,Win,3000.0
2019-04-02 13:22:00,2019-04-02 13:32:00,428300.0,428000.0,428600.0,Win,3000.0
2019-04-02 13:23:00,2019-04-02 13:31:00,428400.0,428100.0,428700.0,Win,3000.0
2019-04-02 13:24:00,2019-04-02 13:31:00,428400.0,428100.0,428700.0,Win,3000.0
2019-04-02 13:36:00,2019-04-02 13:40:00,428300.0,428000.0,428600.0,Win,3000.0
2019-04-02 13:43:00,2019-04-02 13:45:00,428300.0,428000.0,428600.0,Win,3000.0
2019-04-02 13:46:00,2019-04-02 13:54:00,428500.0,428200.0,428800.0,Win,3000.0
2019-04-02 15:27:00,2019-04-02 15:38:00,430100.0,429800.0,430400.0,Loss,-3000.0
2019-04-02 15:28:00,2019-04-02 15:38:00,430100.0,429800.0,430400.0,Loss,-3000.0
2019-04-02 15:29:00,2019-04-02 15:38:00,430100.0,429800.0,430400.0,Loss,-3000.0
2019-04-02 15:30:00,2019-04-02 15:47:00,430300.0,430000.0,430600.0,Loss,-3000.0
2019-04-02 15:31:00,2019-04-02 15:38:00,430100.0,429800.0,430400.0,Loss,-3000.0
2019-04-02 15:32:00,2019-04-02 15:38:00,430100.0,429800.0,430400.0,Loss,-3000.0
2019-04-02 15:33:00,2019-04-02 15:39:00,430200.0,429900.0,430500.0,Loss,-3000.0
2019-04-02 20:50:00,2019-04-02 20:55:00,429800.0,429500.0,430100.0,Loss,-3000.0
2019-04-02 20:51:00,2019-04-02 20:56:00,429900.0,429600.0,430200.0,Loss,-3000.0
2019-04-02 20:52:00,2019-04-02 20:56:00,429900.0,429600.0,430200.0,Loss,-3000.0
2019-04-02 20:53:00,2019-04-02 20:57:00,430000.0,429700.0,430300.0,Loss,-6000.0
2019-04-02 22:01:00,2019-04-02 22:04:00,431400.0,431100.0,431700.0,Win,3000.0
2019-04-02 22:02:00,2019-04-02 22:04:00,431400.0,431100.0,431700.0,Win,3000.0
2019-04-02 22:11:00,2019-04-02 22:16:00,431300.0,431000.0,431600.0,Win,3000.0
2019-04-02 22:12:00,2019-04-02 22:16:00,431300.0,431000.0,431600.0,Win,3000.0
2019-04-02 22:25:00,2019-04-02 22:27:00,431300.0,431000.0,431600.0,Loss,-4000.0
2019-04-02 22:26:00,2019-04-02 22:37:00,431700.0,431400.0,432000.0,Win,3000.0
